id,code,cheflieu,name,slug
1,01,97105,Guadeloupe,guadeloupe
2,02,97209,Martinique,martinique
3,03,97302,Guyane,guyane
4,04,97411,"La Réunion","la reunion"
5,06,97608,Mayotte,mayotte
6,11,75056,Île-de-France,"ile de france"
7,24,45234,"Centre-Val de Loire","centre val de loire"
8,27,21231,Bourgogne-Franche-Comté,"bourgogne franche comte"
9,28,76540,Normandie,normandie
10,32,59350,Hauts-de-France,"hauts de france"
11,44,67482,"Grand Est","grand est"
12,52,44109,"Pays de la Loire","pays de la loire"
13,53,35238,Bretagne,bretagne
14,75,33063,Nouvelle-Aquitaine,"nouvelle aquitaine"
15,76,31555,Occitanie,occitanie
16,84,69123,Auvergne-Rhône-Alpes,"auvergne rhone alpes"
17,93,13055,"Provence-Alpes-Côte d'Azur","provence alpes cote dazur"
18,94,,Corse,corse
